OrderID,CustomerID,Product,Category,Quantity,UnitPrice,Sales,Profit,OrderDate
1,129,Mamaearth Face Wash,Skincare,2,521,1042,343.92,2019-11-28
2,238,Maybelline Mascara,Makeup,2,1113,2226,755.08,2021-07-03
3,48,Maybelline Mascara,Makeup,5,476,2380,329.14,2019-01-17
4,200,Plum Serum,Skincare,5,557,2785,314.86,2021-07-15
5,298,LOreal Shampoo,Haircare,2,1038,2076,693.87,2019-11-05
6,2,Plum Serum,Skincare,1,210,210,46.14,2022-03-11
7,68,Mamaearth Face Wash,Skincare,5,342,1710,414.53,2018-10-11
8,20,Plum Serum,Skincare,3,854,2562,637.23,2020-01-26
9,72,Minimalist Sunscreen,Skincare,4,674,2696,758.78,2022-09-19
10,120,Plum Serum,Skincare,1,918,918,162.95,2020-09-13
11,252,LOreal Shampoo,Haircare,4,669,2676,701.39,2022-03-04
12,53,Biotique Cream,Skincare,5,1492,7460,1303.26,2017-08-07
13,66,Mamaearth Face Wash,Skincare,5,744,3720,615.03,2020-12-30
14,263,LOreal Shampoo,Haircare,5,1001,5005,837.77,2017-03-17
15,162,Maybelline Mascara,Makeup,3,1421,4263,1167.2,2020-10-31
16,38,Biotique Cream,Skincare,5,726,3630,904.16,2021-04-17
17,287,Mamaearth Face Wash,Skincare,1,1417,1417,431.93,2017-11-16
18,59,Maybelline Mascara,Makeup,3,890,2670,596.85,2020-08-02
19,110,Lakme Lipstick,Makeup,4,644,2576,776.1,2022-06-15
20,18,Plum Serum,Skincare,3,1449,4347,1302.5,2020-04-12
21,202,Mamaearth Face Wash,Skincare,5,1048,5240,1278.57,2022-12-12
22,250,Mamaearth Face Wash,Skincare,2,1417,2834,680.51,2019-08-14
23,253,Himalaya Face Pack,Skincare,1,862,862,259.98,2018-11-13
24,280,Himalaya Face Pack,Skincare,4,1428,5712,1708.56,2020-11-04
25,250,Plum Serum,Skincare,3,206,618,211.06,2019-09-22
26,278,Lakme Lipstick,Makeup,2,949,1898,427.08,2018-04-24
27,187,LOreal Shampoo,Haircare,4,564,2256,318.88,2018-03-03
28,1,Biotique Cream,Skincare,5,687,3435,484.55,2021-12-23
29,8,LOreal Shampoo,Haircare,4,428,1712,417.98,2022-11-27
30,138,Minimalist Sunscreen,Skincare,4,292,1168,349.3,2018-03-30
31,221,Plum Serum,Skincare,4,1006,4024,969.04,2022-11-20
32,292,LOreal Shampoo,Haircare,2,1188,2376,690.07,2020-05-15
33,240,LOreal Shampoo,Haircare,1,1428,1428,365.68,2020-06-25
34,41,Mamaearth Face Wash,Skincare,3,900,2700,367.49,2019-11-17
35,221,Maybelline Mascara,Makeup,3,1457,4371,1029.91,2017-06-12
36,111,Maybelline Mascara,Makeup,3,1327,3981,1261.64,2020-07-09
37,277,Lakme Lipstick,Makeup,3,1333,3999,506.5,2021-09-03
38,100,Mamaearth Face Wash,Skincare,3,428,1284,147.88,2017-08-21
39,198,Mamaearth Face Wash,Skincare,1,307,307,33.91,2018-08-06
40,152,Colorbar Eyeliner,Makeup,5,765,3825,541.21,2019-07-23
41,279,Mamaearth Face Wash,Skincare,2,1188,2376,530.1,2018-09-21
42,189,Himalaya Face Pack,Skincare,3,1339,4017,464.24,2021-07-08
43,189,Biotique Cream,Skincare,1,346,346,113.27,2017-08-14
44,230,Himalaya Face Pack,Skincare,4,1338,5352,1098.18,2022-03-11
45,189,Colorbar Eyeliner,Makeup,1,1087,1087,253.78,2022-09-09
46,291,Minimalist Sunscreen,Skincare,4,961,3844,904.21,2020-08-17
47,252,Maybelline Mascara,Makeup,1,1383,1383,368.27,2017-03-20
48,146,Minimalist Sunscreen,Skincare,2,330,660,134.97,2017-05-20
49,243,Maybelline Mascara,Makeup,5,839,4195,1161.0,2018-01-26
50,99,Mamaearth Face Wash,Skincare,4,1469,5876,1506.33,2021-07-12
51,227,Nykaa Nail Polish,Makeup,4,353,1412,405.65,2020-07-25
52,269,Minimalist Sunscreen,Skincare,5,1315,6575,1010.4,2018-10-24
53,228,Biotique Cream,Skincare,5,1005,5025,1480.05,2022-01-25
54,249,Maybelline Mascara,Makeup,1,884,884,249.5,2020-01-29
55,282,Colorbar Eyeliner,Makeup,3,1070,3210,491.93,2019-08-23
56,96,Lakme Lipstick,Makeup,2,1103,2206,611.33,2022-05-19
